step;k;mu
750;10;1.64185e-06
1750;10;1.64185e-06
2750;10;1.64185e-06
3750;10;1.64185e-06
4750;10;1.64185e-06
5750;10;2.32924e-06
6750;25;6.995035e-06
7750;32;9.975045e-06
8750;37;1.099015e-05
9750;36;9.269045e-06
10750;36;7.93956e-06
11750;35;6.81383e-06
12750;33;5.52837e-06
13750;33;4.88843e-06
14750;33;4.656125e-06
15750;33;3.893645e-06
16750;32;3.28358e-06
17750;32;3.280385e-06
18750;32;3.2232e-06
19750;32;2.97261e-06
20750;33;3.040345e-06
21750;34;2.652155e-06
22750;33;1.64186e-06
23750;33;1.64186e-06
24750;33;1.64185e-06
25750;33;1.64185e-06
26750;33;1.64185e-06
27750;33;1.64185e-06
28750;33;1.64185e-06
29750;33;1.64185e-06
30750;33;1.64185e-06
31750;33;1.64185e-06
32750;33;1.64185e-06
33750;33;1.64185e-06
34750;33;1.64185e-06
35750;33;1.64185e-06
36750;33;1.64185e-06
37750;33;1.64185e-06
38750;33;1.64185e-06
39750;33;1.64185e-06
40750;33;1.64185e-06
41750;33;1.64185e-06
42750;33;1.64185e-06
43750;33;1.64185e-06
44750;33;1.64185e-06
45750;33;1.64185e-06
46750;33;1.64185e-06
47750;33;1.64185e-06
48750;33;1.64185e-06
49750;33;1.64185e-06
50750;33;1.641855e-06
51750;33;1.641855e-06
52750;33;2.17188e-06
53750;37;2.945225e-06
54750;41;3.24176e-06
55750;42;3.26239e-06
56750;42;3.227615e-06
57750;42;3.15632e-06
58750;41;2.339645e-06
59750;56;3.26442e-06
60750;56;3.27428e-06
61750;56;3.17344e-06
62750;57;3.04128e-06
63750;55;2.993455e-06
64750;54;2.688955e-06
65750;61;2.269165e-06
66750;75;3.25357e-06
67750;75;3.28095e-06
68750;75;3.277905e-06
69750;75;3.279425e-06
70750;75;3.273525e-06
71750;75;3.27284e-06
72750;75;3.280515e-06
73750;75;3.2815e-06
74750;75;3.27736e-06
75750;75;3.27449e-06
76750;75;3.28169e-06
77750;75;3.28023e-06
78750;75;3.281625e-06
79750;75;3.281355e-06
80750;75;3.279355e-06
81750;75;3.28018e-06
82750;75;3.281175e-06
83750;75;3.27839e-06
84750;75;3.27749e-06
85750;75;3.278575e-06
86750;75;3.278475e-06
87750;75;3.277335e-06
88750;75;3.26927e-06
89750;75;3.27645e-06
90750;75;3.272315e-06
91750;75;3.27566e-06
92750;75;3.279295e-06
93750;75;3.28274e-06
94750;75;3.27444e-06
95750;75;3.279105e-06
96750;75;3.280855e-06
97750;75;3.27437e-06
98750;75;3.280865e-06
99750;75;3.281505e-06
100750;75;3.282265e-06
101750;75;3.28269e-06
102750;75;3.2823e-06
103750;75;3.28104e-06
104750;75;3.283365e-06
105750;75;3.28309e-06
106750;75;3.282975e-06
107750;75;3.282745e-06
108750;75;3.27743e-06
109750;75;3.28029e-06
110750;75;3.278145e-06
111750;75;3.28076e-06
112750;75;3.28329e-06
113750;75;3.283385e-06
114750;75;3.28017e-06
115750;75;3.2816e-06
116750;75;3.28002e-06
117750;75;3.27978e-06
118750;75;3.281135e-06
119750;75;3.28324e-06
120750;75;3.282715e-06
121750;75;3.283335e-06
122750;75;3.28273e-06
123750;75;3.282495e-06
124750;75;3.280185e-06
125750;75;3.28156e-06
126750;75;3.282845e-06
127750;75;3.28122e-06
128750;75;3.28346e-06
129750;75;3.283475e-06
130750;75;3.282795e-06
131750;75;3.283315e-06
132750;75;3.283075e-06
133750;75;3.28349e-06
134750;75;3.28014e-06
135750;75;3.283495e-06
136750;75;3.28354e-06
137750;75;3.443145e-06
138750;77;3.76893e-06
139750;71;3.277825e-06
140750;71;3.28141e-06
141750;71;3.281465e-06
142750;71;3.283565e-06
143750;71;3.28293e-06
144750;71;3.28131e-06
145750;71;3.27979e-06
146750;71;3.28314e-06
147750;71;3.283545e-06
148750;71;3.741715e-06
149750;77;3.88299e-06
150750;80;3.283355e-06
151750;80;3.2824e-06
152750;80;3.281915e-06
153750;80;3.28113e-06
154750;80;3.28234e-06
155750;80;3.268425e-06
156750;80;3.601445e-06
157750;84;3.96293e-06
158750;84;3.95923e-06
159750;84;3.6427e-06
160750;78;2.934625e-06
161750;77;2.5394e-06
162750;80;2.53937e-06
163750;83;3.168635e-06
164750;83;3.136305e-06
165750;85;3.11371e-06
166750;86;2.38867e-06
167750;70;1.641795e-06
168750;70;1.64174e-06
169750;70;1.64153e-06
170750;70;1.640565e-06
171750;70;1.637965e-06
172750;70;1.635145e-06
173750;70;1.631915e-06
174750;70;1.62841e-06
175750;70;1.624555e-06
176750;70;1.62098e-06
177750;70;1.617775e-06
178750;70;1.6144e-06
179750;70;1.60845e-06
180750;70;1.59777e-06
181750;70;1.577145e-06
182750;70;1.564175e-06
183750;70;1.52135e-06
184750;70;1.50964e-06
185750;70;1.486185e-06
186750;70;1.45721e-06
187750;69;1.226415e-06
188750;68;1.196195e-06
189750;68;1.194845e-06
190750;68;9.26308e-07
191500;53;-2.2939e-08
