alpha;q
10;0.797863
11;0.798215
12;0.791636
13;0.790736
14;0.789929
15;0.780439
16;0.787694
17;0.795585
18;0.79339
19;0.793831
20;0.794726
21;0.792101
22;0.798159
23;0.797119
24;0.784592
25;0.793506
26;0.795855
27;0.799766
28;0.797525
29;0.798707
30;0.799922
31;0.789406
32;0.797849
33;0.79342
34;0.794276
35;0.794288
36;0.799977
37;0.793112
38;0.779482
39;0.796945
40;0.775794
41;0.795283
42;0.78541
43;0.789207
44;0.780323
45;0.796917
46;0.796899
47;0.785191
48;0.794608
49;0.784991
50;0.798825
51;0.794057
52;0.7966
53;0.789459
54;0.796715
55;0.798754
56;0.798197
57;0.794369
58;0.798659
59;0.797627
60;0.796597
61;0.784015
62;0.794913
63;0.79942
64;0.791798
65;0.787107
66;0.792463
67;0.805276
68;0.799666
69;0.793442
70;0.795534
71;0.794243
72;0.793339
73;0.797307
74;0.797904
75;0.79581
76;0.798888
77;0.795383
78;0.797577
79;0.772986
80;0.792328
81;0.791551
82;0.794264
83;0.798948
84;0.769016
85;0.791948
86;0.788168
87;0.799397
88;0.784667
89;0.797072
90;0.795159
91;0.795659
92;0.792193
93;0.798759
94;0.774764
95;0.792585
96;0.797124
97;0.788657
98;0.794868
99;0.793884
100;0.791393
