step;k;mu
750;10;3.65101e-07
1750;10;3.651005e-07
2750;10;3.651005e-07
3750;10;3.651005e-07
4750;10;5.47572e-07
5750;10;5.476095e-07
6750;10;5.47644e-07
7750;10;7.29891e-07
8750;10;7.3017e-07
9750;10;7.298755e-07
10750;10;9.112465e-07
11750;10;1.267505e-06
12750;10;1.44961e-06
13750;10;1.46036e-06
14750;10;1.27776e-06
15750;10;1.27571e-06
16750;10;1.0798915e-06
17750;10;1.08141e-06
18750;10;9.127355e-07
19750;10;9.127175e-07
20750;10;1.074259e-06
21750;10;1.08118e-06
22750;10;2.071295e-06
23750;10;3.46866e-06
24750;10;4.530745e-06
25750;10;5.561045e-06
26750;10;6.714185e-06
27750;10;7.678995e-06
28750;10;7.93971e-06
29750;10;8.225195e-06
30750;10;8.469525e-06
31750;10;8.233345e-06
32750;10;7.96826e-06
33750;10;7.59355e-06
34750;10;4.94505e-06
35750;10;2.553115e-06
36750;10;2.365405e-06
37750;10;2.003325e-06
38750;10;2.002155e-06
39750;10;1.636835e-06
40750;10;1.30358e-06
41750;10;1.27733e-06
42750;10;1.266855e-06
43750;10;1.264575e-06
44750;10;1.45092e-06
45750;10;1.62129e-06
46750;10;1.625615e-06
47750;10;1.805885e-06
48750;10;1.64122e-06
49750;10;1.62356e-06
50750;10;1.27564e-06
51750;10;1.446055e-06
52750;10;1.44163e-06
53750;10;1.26614e-06
54750;10;1.0928295e-06
55750;10;1.269205e-06
56750;10;1.0907995e-06
57750;10;9.12585e-07
58750;10;9.125545e-07
59750;10;9.09824e-07
60750;10;9.06624e-07
61750;10;7.3018e-07
62750;10;7.300275e-07
63750;10;7.298985e-07
64750;10;1.079705e-06
65750;10;1.275395e-06
66750;10;1.273805e-06
67750;10;1.240875e-06
68750;10;1.272325e-06
69750;10;1.63736e-06
70750;10;1.457065e-06
71750;10;1.6387e-06
72750;10;1.8121e-06
73750;10;1.63182e-06
74750;10;1.44921e-06
75750;10;1.0952245e-06
76750;10;9.091845e-07
77750;10;9.09969e-07
78750;10;1.0951025e-06
79750;10;9.127195e-07
80750;10;7.301415e-07
81750;10;7.266635e-07
82750;10;5.845845e-07
83750;10;6.77666e-07
84750;10;5.27902e-07
85750;10;1.3402135e-06
86750;10;3.440275e-06
87750;10;5.739415e-06
88750;10;7.33884e-06
89750;10;8.22212e-06
90750;10;8.80676e-06
91750;10;9.231105e-06
92750;10;9.461235e-06
93750;10;9.40187e-06
94750;10;9.492585e-06
95750;10;9.57857e-06
96750;10;9.67365e-06
97750;10;9.613675e-06
98750;10;9.86691e-06
99750;10;9.808795e-06
100750;10;9.75656e-06
101750;10;9.71372e-06
102750;10;9.491155e-06
103750;10;6.45544e-06
104750;10;3.22252e-06
105750;10;2.1842e-06
106750;10;2.0736195e-06
107750;10;9.07519e-07
108750;10;7.270985e-07
109750;10;9.02824e-07
110750;10;1.0815e-06
111750;10;1.077875e-06
112750;10;1.076185e-06
113750;10;9.892885e-07
114750;10;9.00895e-07
115750;10;9.00554e-07
116750;10;9.00091e-07
117750;10;8.99363e-07
118750;10;7.292045e-07
119750;10;8.96133e-07
120750;10;9.0157e-07
121750;10;8.94743e-07
122750;10;7.299785e-07
123750;10;8.982055e-07
124750;10;8.9816e-07
125750;10;9.123355e-07
126750;10;9.12589e-07
