alpha;q
1;0.910591
2;0.911359
3;0.910328
4;0.911028
5;0.910285
6;0.911327
7;0.911144
8;0.909775
9;0.911199
10;0.910974
11;0.909899
12;0.910786
13;0.91113
14;0.909914
15;0.910019
16;0.909865
17;0.909587
18;0.910367
19;0.910022
20;0.909461
21;0.910157
22;0.910091
23;0.910577
24;0.909766
25;0.90994
26;0.909105
27;0.907598
28;0.909631
29;0.910797
30;0.910879
31;0.908792
32;0.910911
33;0.911017
34;0.910068
35;0.910621
36;0.909946
37;0.909926
38;0.910649
39;0.910036
40;0.909683
41;0.908647
42;0.910787
43;0.90983
44;0.910089
45;0.907286
46;0.909923
47;0.910723
48;0.910025
49;0.910535
50;0.910341
51;0.909733
52;0.90972
53;0.910433
54;0.909662
55;0.910114
56;0.909354
57;0.908894
58;0.909901
59;0.91019
60;0.909576
61;0.908691
62;0.909029
63;0.908646
64;0.910084
65;0.909747
66;0.910661
67;0.909591
68;0.909345
69;0.907376
70;0.907249
71;0.910571
72;0.909221
73;0.909938
74;0.909904
75;0.909522
76;0.910587
77;0.910104
78;0.909488
79;0.905624
80;0.908998
81;0.909853
82;0.90965
83;0.908981
84;0.909698
85;0.909651
86;0.909859
87;0.909212
88;0.908896
89;0.909278
90;0.909918
91;0.905598
92;0.907462
93;0.90866
94;0.90956
95;0.909765
96;0.908963
97;0.909074
98;0.906136
99;0.909457
100;0.907236
