step;k;mu;mu0;mus;f
500;8;8.33118e-06;8.32993e-06;1.66624e-05;116.955
1000;12;8.33122e-06;8.3307e-06;2.4993e-05;116.955
1500;8;8.33118e-06;8.33007e-06;3.32446e-05;116.955
2000;12;8.33129e-06;8.33045e-06;4.94306e-05;116.955
2500;8;8.33118e-06;8.33038e-06;4.1645e-05;116.955
3000;12;1.66549e-05;8.33063e-06;7.41526e-05;110.028
3500;10;1.66506e-05;8.33049e-06;0.000148224;110.031
4000;14;1.66616e-05;8.33076e-06;0.000155465;110.024
4500;10;1.6661e-05;8.33045e-06;0.000216216;110.024
5000;14;2.47076e-05;8.33076e-06;0.000414735;106.084
5500;11;2.47572e-05;8.33045e-06;0.00025948;106.064
6000;15;2.84992e-05;8.33083e-06;0.000392786;104.656
6500;11;2.09885e-05;8.33076e-06;0.000197241;107.715
7000;15;2.67248e-05;8.33076e-06;0.000369122;105.299
7500;12;2.4681e-05;8.33045e-06;0.000302357;106.095
8000;16;2.66949e-05;8.3309e-06;0.00030269;105.31
8500;12;2.49469e-05;8.33049e-06;0.000248798;105.988
9000;16;2.58751e-05;8.33101e-06;0.000348314;105.622
9500;12;2.41139e-05;8.33076e-06;0.000393066;106.327
10000;16;2.62501e-05;8.3309e-06;0.000265676;105.478
10500;12;2.34136e-05;8.33076e-06;0.000319845;106.622
11000;16;2.49797e-05;8.33076e-06;0.00021934;105.974
11500;12;2.35937e-05;8.33076e-06;0.000152102;106.545
12000;16;2.46783e-05;8.3308e-06;0.000139;106.096
12500;12;2.34794e-05;8.33076e-06;0.000266629;106.594
13000;16;2.48056e-05;8.33083e-06;0.000264249;106.044
13500;12;2.31987e-05;8.33056e-06;0.000177474;106.714
14000;16;2.49738e-05;8.33083e-06;0.000202194;105.977
14500;12;2.30159e-05;8.3307e-06;0.000201284;106.793
15000;16;2.4606e-05;8.3309e-06;0.000204383;106.125
15500;12;2.0763e-05;8.33076e-06;0.00018031;107.823
16000;16;2.39315e-05;8.33097e-06;0.000192003;106.403
16500;12;1.88469e-05;8.3307e-06;0.000152395;108.792
17000;16;2.30841e-05;8.33076e-06;0.000112683;106.764
17500;13;2.2057e-05;8.33076e-06;9.91569e-05;107.219
18000;17;2.17508e-05;8.33076e-06;0.000152577;107.359
18500;13;1.66609e-05;8.33076e-06;0.000158845;110.024
19000;17;1.87519e-05;8.3308e-06;0.00011172;108.842
19500;13;1.66577e-05;8.33045e-06;0.000123828;110.026
20000;17;1.66614e-05;8.33076e-06;0.000132094;110.024
20500;13;1.66277e-05;8.33045e-06;0.000102354;110.044
21000;17;1.66612e-05;8.33066e-06;0.000138131;110.024
21500;13;1.666e-05;8.33021e-06;0.000135578;110.025
22000;17;1.66602e-05;8.33076e-06;7.49522e-05;110.025
22500;13;1.66229e-05;8.32889e-06;6.93835e-05;110.047
23000;17;1.66608e-05;8.33045e-06;7.17388e-05;110.024
23500;13;1.65423e-05;8.33007e-06;7.48915e-05;110.096
24000;17;1.66607e-05;8.33007e-06;7.1631e-05;110.025
24500;13;1.66597e-05;8.31289e-06;0.000108177;110.025
25000;17;1.66608e-05;8.32962e-06;7.61827e-05;110.024
25500;13;1.66601e-05;8.2583e-06;6.66364e-05;110.025
26000;17;2.49531e-05;8.3283e-06;0.000108187;105.985
26500;14;1.66609e-05;8.11417e-06;0.000133056;110.024
27000;18;2.49843e-05;7.94824e-06;0.000174636;105.973
27500;15;8.32754e-06;7.44401e-06;0.000141441;116.959
28000;19;8.11054e-06;7.33475e-06;0.000149761;117.223
28500;15;7.56683e-06;-6.43717e-07;1.33317e-05;117.917
29000;19;7.33116e-06;-1.30506e-06;8.1066e-06;118.234
