alpha;q
10;0.711984
11;0.711621
12;0.714151
13;0.713192
14;0.714847
15;0.713598
16;0.712631
17;0.707693
18;0.712214
19;0.71056
20;0.71022
21;0.712942
22;0.712376
23;0.7116
24;0.715074
25;0.714947
26;0.710182
27;0.712177
28;0.710831
29;0.712585
30;0.710469
31;0.711305
32;0.713941
33;0.712552
34;0.71172
35;0.714228
36;0.713931
37;0.715458
38;0.713583
39;0.713674
40;0.717257
41;0.714773
42;0.7107
43;0.714724
44;0.713065
45;0.712315
46;0.712986
47;0.709011
48;0.715738
49;0.708481
50;0.71275
51;0.709651
52;0.713623
53;0.715838
54;0.712398
55;0.712485
56;0.714693
57;0.713681
58;0.714996
59;0.713441
60;0.713854
61;0.709592
62;0.711536
63;0.713499
64;0.716027
65;0.71202
66;0.713895
67;0.709178
68;0.713227
69;0.713482
70;0.713522
71;0.715325
72;0.711575
73;0.71195
74;0.713223
75;0.714761
76;0.712941
77;0.713162
78;0.713399
79;0.711166
80;0.715796
81;0.714382
82;0.713632
83;0.709462
84;0.712247
85;0.716425
86;0.71365
87;0.714385
88;0.71256
89;0.714235
90;0.714156
91;0.712453
92;0.709394
93;0.70913
94;0.714394
95;0.70654
96;0.709938
97;0.710152
98;0.711693
99;0.714694
100;0.713643
