beta;q;time
0;0.803171;12135.3
0.01;0.803331;12882.7
0.02;0.805472;12830
0.03;0.805313;12655.7
0.04;0.803194;12393.3
0.05;0.805972;12038.3
0.06;0.807608;12107
0.07;0.804925;11980
0.08;0.811823;13201
0.09;0.801708;12219.7
0.1;0.805366;12253.7
0.11;0.810553;12392.7
0.12;0.80994;12143.7
0.13;0.804253;12531.7
0.14;0.806647;12549
0.15;0.807334;11978
0.16;0.803633;12012.7
0.17;0.809327;11809
0.18;0.806362;11809.7
0.19;0.806743;11984.7
0.2;0.80324;11333.3
0.21;0.810698;11204.7
0.22;0.809909;10683.3
0.23;0.812778;10710.3
0.24;0.808004;10674.7
0.25;0.807059;10798.3
0.26;0.807697;10721
0.27;0.807868;11658
