beta;q;time
0;0.911114;48063
0.01;0.911195;48831
0.02;0.911268;49052
0.03;0.911042;43003
0.04;0.911124;51489
0.05;0.910193;50497
0.06;0.910549;56352
0.07;0.91121;46238
0.08;0.910195;40905
0.09;0.910411;36459
0.1;0.910322;36987
0.11;0.911168;34798
0.12;0.910281;30752
0.13;0.910434;29546
0.14;0.910378;29852
0.15;0.911266;29491
0.16;0.910278;29717
0.17;0.910486;29691
0.18;0.911153;29359
0.19;0.910496;29509
0.2;0.911243;29317
0.21;0.911328;29350
0.22;0.910342;29477
0.23;0.911247;29344
0.24;0.910337;28974
0.25;0.910353;29806
0.26;0.910903;29689
0.27;0.911261;29193
