beta;q;time
0;0.713323;625.519
0.01;0.7111;684.259
0.02;0.710837;526.407
0.03;0.713685;484.889
0.04;0.710511;480.593
0.05;0.71083;475.37
0.06;0.707985;462.556
0.07;0.696687;476.333
0.08;0.710873;482.481
0.09;0.710866;485.444
0.1;0.710305;478.037
0.11;0.699704;476.37
0.12;0.690505;467.185
0.13;0.694433;475
0.14;0.685738;434.519
0.15;0.692821;453.963
0.16;0.602311;379.37
0.17;0.59958;361.593
0.18;0.565476;376.963
0.19;0.597527;372.222
0.2;0.570062;342.667
0.21;0.570788;372.593
0.22;0.596191;373.481
0.23;0.599465;371.593
0.24;0.553615;343.185
