k0;q;time
5;0.809686;14124.7
7;0.803171;21602.7
9;0.791177;20744
11;0.801115;21818
13;0.791431;21376.7
15;0.786215;22535.3
17;0.788778;20843.7
19;0.794183;22341.3
21;0.793619;21178
23;0.795253;22990
25;0.795435;22040.7
27;0.790346;23119
29;0.788245;23249
31;0.790294;25827.7
33;0.791553;24366
35;0.787445;23443.7
37;0.792158;24882.3
39;0.790926;23927.3
41;0.792624;25728
43;0.788429;24827.3
45;0.793307;24466.3
47;0.793001;25114
49;0.792627;26203
51;0.79035;25261.3
53;0.793223;24928.3
55;0.793704;24208.7
57;0.792575;24951.7
59;0.794117;25284
