k0;q;time
5;0.910159;83384
7;0.911114;88188
9;0.910066;85031
11;0.910309;90425
13;0.910866;73555
15;0.90632;80387
17;0.910127;77527
19;0.910013;82929
21;0.910785;59567
23;0.908735;69828
25;0.911266;65934
27;0.909747;75375
29;0.910467;58411
31;0.910035;66536
33;0.909256;55166
35;0.908086;65140
37;0.910432;62191
39;0.909308;63186
41;0.905796;62954
43;0.907437;63609
45;0.909148;63956
47;0.909233;61616
49;0.910066;62258
51;0.905876;63652
53;0.909213;62055
55;0.909159;59687
57;0.910435;63459
59;0.909965;53349
