k0;q;time
7;0.692652;578.545
9;0.70999;819.727
11;0.7053;824.727
13;0.706764;838.091
15;0.708895;845.364
17;0.704764;941
19;0.706952;933.364
21;0.701468;980.091
23;0.703839;1036.18
25;0.69767;1093.82
27;0.699405;1127.09
29;0.696098;1111.55
31;0.697912;1176.27
33;0.695522;1263.27
35;0.700645;1245.27
37;0.689873;1349.82
39;0.692273;1300.36
41;0.693946;1396.09
43;0.70686;1408.73
45;0.687531;1476.64
47;0.698107;1465.64
49;0.687794;1545.09
51;0.696713;1565.27
53;0.693713;1607.73
55;0.686304;1564.55
57;0.694113;1442.27
59;0.688024;1455.91
