sigma;q;time
50;0.796446;30397.3
100;0.796929;25851.3
150;0.797083;23457
200;0.799456;21514
250;0.7931;23632.3
300;0.795102;21093.7
350;0.797242;23002.7
400;0.791479;20352
450;0.796329;22533.3
500;0.792295;20418.3
550;0.796536;21524.7
600;0.796365;20871.7
650;0.795731;22351.3
700;0.798025;20051.3
750;0.797303;21778
800;0.799014;20563.7
850;0.797598;23055.7
900;0.796676;21681.7
950;0.799426;21155
1000;0.798279;20193.7
1050;0.788635;19991.3
1100;0.792227;20358
1150;0.794615;20981.7
1200;0.793474;21067.7
1250;0.796599;14223
1300;0.801439;18485.3
1350;0.798335;18284.7
1400;0.797651;19594
