sigma;q;time
50;0.909635;94699
100;0.90968;75677
150;0.909883;73105
200;0.910093;69540
250;0.908408;76469
300;0.908896;64325
350;0.9099;67467
400;0.910293;63114
450;0.910024;66288
500;0.909987;65649
550;0.909226;69838
600;0.90946;62448
650;0.910168;68341
700;0.911161;61893
750;0.910297;63687
800;0.911113;58813
850;0.911118;61813
900;0.910206;62465
950;0.910277;61914
1000;0.910568;61960
1050;0.910398;63879
1100;0.910093;59124
1150;0.910408;63472
1200;0.909567;61065
1250;0.91082;38286
1300;0.91096;60474
1350;0.911229;57561
1400;0.911109;62577
