sigma;q;time
50;0.713458;1027.14
100;0.712352;956.143
150;0.710091;869.429
200;0.710171;903.143
250;0.710266;848.286
300;0.709622;848.857
350;0.712337;810.714
400;0.707141;840.571
450;0.706158;807.143
500;0.707501;822.143
550;0.706888;806.143
600;0.712289;851.143
650;0.711038;825
700;0.710605;816.429
750;0.705079;817.714
800;0.704382;810.714
850;0.703666;750.286
900;0.701575;840.857
950;0.708026;800.286
1000;0.710664;874.714
1050;0.709798;771.571
1100;0.708088;854.143
1150;0.712245;768.143
1200;0.689666;806.714
1250;0.708955;808.571
1300;0.712715;758.714
1350;0.708376;813.143
1400;0.711449;767
