k;q;time
1;0.869202;53.1818
2;0.870353;56.2727
3;0.869395;57.0909
4;0.869524;60.2727
5;0.867904;82.9091
6;0.865697;77.3636
7;0.864471;68.9091
8;0.861796;75.0909
9;0.863972;76.8182
10;0.859652;86.7273
11;0.859334;88.8182
12;0.854501;108.545
13;0.861089;100.636
14;0.854623;106.636
15;0.855356;86.0909
16;0.852619;84
17;0.854064;97.7273
18;0.85325;98.5455
19;0.849408;101.818
20;0.856376;124.818
21;0.854502;107.455
22;0.849168;102
23;0.849976;122.364
24;0.854539;142.909
25;0.852634;114.545
26;0.850673;126.273
27;0.850811;106
28;0.847524;112.182
29;0.850081;143.818
30;0.844303;142.273
31;0.847102;128
32;0.852649;139.545
33;0.850726;141.091
34;0.847898;141.455
35;0.846238;156.727
36;0.846046;148.818
37;0.849418;177.818
38;0.850853;154.364
39;0.846649;150.182
40;0.849761;145.727
