k;q;time
1;0.268318;0.386139
2;0.279593;0.425743
3;0.284221;0.405941
4;0.286181;0.445545
5;0.28578;0.49505
6;0.287222;0.425743
7;0.28759;0.435644
8;0.289611;0.425743
9;0.28955;0.435644
10;0.29099;0.435644
11;0.289099;0.445545
12;0.289107;0.435644
13;0.288886;0.475248
14;0.288631;0.534653
15;0.290832;0.514851
16;0.290497;0.50495
17;0.289561;0.514851
18;0.290179;0.534653
19;0.290464;0.554455
20;0.289298;0.514851
21;0.290444;0.554455
22;0.29123;0.643564
23;0.289952;0.653465
24;0.28986;0.712871
25;0.289046;0.881188
26;0.290848;0.811881
27;0.290633;0.752475
28;0.289293;0.792079
29;0.291087;0.891089
30;0.291776;0.841584
31;0.291762;0.792079
32;0.292019;0.772277
33;0.291696;0.80198
34;0.290417;0.80198
35;0.290851;0.772277
36;0.290696;0.742574
37;0.29146;0.80198
38;0.290107;0.762376
39;0.291817;0.841584
40;0.291009;0.940594
41;0.292316;1.0297
42;0.293492;0.920792
43;0.292911;0.841584
44;0.292789;0.772277
45;0.292537;0.772277
46;0.291903;0.772277
47;0.292036;0.841584
48;0.292277;0.920792
49;0.292709;0.910891
50;0.290583;0.930693
51;0.292249;0.90099
52;0.291812;1.0198
53;0.292637;0.851485
54;0.2921;0.821782
55;0.29218;0.821782
56;0.292296;0.841584
57;0.292094;0.851485
58;0.292878;0.861386
59;0.292642;0.851485
60;0.292246;0.851485
61;0.292191;0.881188
62;0.293196;0.871287
63;0.292404;0.891089
64;0.293307;0.861386
65;0.292911;0.90099
66;0.293229;0.910891
67;0.291399;0.930693
68;0.293038;0.90099
69;0.292584;0.891089
70;0.292496;0.910891
71;0.292603;0.920792
72;0.293697;0.950495
73;0.292681;0.910891
74;0.293492;1.0099
75;0.293021;0.980198
76;0.293453;0.930693
77;0.293774;0.960396
78;0.292709;0.960396
79;0.293492;0.980198
80;0.293033;0.940594
81;0.293237;0.960396
82;0.293697;0.950495
83;0.293495;1.11881
84;0.292756;1.16832
85;0.293514;1.13861
86;0.293462;1.11881
87;0.293791;0.960396
88;0.293093;1
89;0.293545;1.14851
90;0.293492;0.980198
91;0.292537;1.0396
92;0.293442;1.0198
93;0.292639;1.10891
94;0.293492;1
95;0.293495;0.990099
96;0.293221;0.960396
97;0.293697;1.0297
98;0.293237;0.980198
99;0.293805;0.990099
100;0.293492;0.980198
101;0.293492;0.980198
102;0.293816;1.0198
103;0.293669;1.06931
104;0.293495;0.980198
105;0.29332;0.990099
106;0.293492;1
107;0.293514;1.05941
108;0.293226;1
109;0.293221;1.0297
110;0.293725;0.990099
111;0.293146;1
112;0.293658;1.11881
113;0.293857;1.07921
114;0.293384;1.05941
115;0.293495;1.15842
116;0.293284;1.23762
117;0.293492;1.11881
118;0.293384;1
119;0.2935;1
120;0.293235;1.0396
121;0.293334;1.0297
122;0.293417;1.12871
123;0.293492;1.25743
124;0.293237;1.12871
125;0.293129;1.0198
126;0.293711;1.22772
127;0.293586;1.19802
128;0.293893;0.990099
129;0.293146;0.990099
130;0.293697;1.13861
131;0.293462;1.32673
132;0.293655;1.07921
133;0.293337;0.980198
134;0.293224;1.06931
135;0.29357;1.06931
136;0.293315;1.0495
137;0.293558;1.0198
138;0.293071;1.08911
139;0.292894;1.25743
140;0.293816;1.21782
141;0.293816;1.48515
142;0.293514;1.18812
143;0.293816;1.10891
144;0.292886;1.07921
145;0.293495;1.0396
146;0.293968;1.05941
147;0.29383;1.19802
148;0.293697;1.38614
149;0.293467;1.31683
150;0.293711;1.0198
151;0.293819;1.05941
152;0.293495;1.09901
153;0.293539;1.0495
154;0.293716;1.0297
155;0.293697;1.08911
156;0.292567;1.39604
157;0.29363;1.20792
158;0.292603;1.06931
159;0.293207;1.0099
160;0.293857;1.0198
161;0.293467;1.0198
162;0.293146;1
163;0.293741;0.990099
164;0.293467;1.0099
165;0.293556;1.08911
166;0.293492;1.0198
167;0.293492;1.06931
168;0.293899;1.0495
169;0.293816;1.14851
170;0.2935;1.31683
171;0.291826;1.18812
172;0.293893;1.16832
173;0.293495;1
174;0.293462;1.09901
175;0.29383;1
176;0.293531;1.0099
177;0.293968;0.990099
178;0.29301;1
179;0.293492;1.18812
180;0.293492;1
181;0.293495;1
182;0.2936;0.960396
183;0.293113;1.09901
184;0.293492;1.11881
185;0.293265;1.25743
186;0.293492;1.26733
187;0.293492;1.0297
188;0.293874;1.0396
189;0.293539;0.970297
190;0.292842;0.990099
191;0.293697;0.960396
192;0.293857;0.980198
193;0.293492;1.09901
194;0.293453;1.12871
195;0.293514;1.23762
196;0.292911;1.12871
197;0.293426;1.0396
198;0.293453;1.0099
199;0.291975;0.990099
200;0.293874;1.0495
201;0.292911;1.05941
202;0.293152;1.15842
203;0.293237;1.09901
204;0.293492;1.05941
205;0.293168;1.0198
206;0.293644;1.06931
207;0.293495;1.0099
208;0.293492;1.07921
209;0.293467;1.07921
210;0.293556;1.12871
211;0.292393;1.15842
212;0.293639;1.10891
213;0.293708;1.0297
214;0.293572;1.0099
215;0.292817;1.05941
216;0.292462;1.0396
217;0.293697;1.0099
218;0.292855;1
219;0.293708;0.970297
220;0.293816;1.16832
221;0.293968;1
222;0.293968;1.0396
223;0.293426;1.0297
224;0.293492;1.09901
225;0.293697;1.22772
226;0.293146;1.08911
227;0.293802;1.0396
228;0.292911;0.990099
229;0.293464;1.09901
230;0.293708;1.0099
231;0.293644;1.0297
232;0.293539;0.990099
233;0.293118;0.980198
234;0.293816;1.0099
235;0.293495;1.0099
236;0.293597;0.990099
237;0.293586;0.990099
238;0.293492;1.0297
239;0.293678;0.980198
240;0.293697;0.980198
241;0.293426;0.990099
242;0.292944;0.980198
243;0.293492;1.05941
244;0.293536;1.24752
245;0.293492;1.23762
246;0.293331;1.0495
247;0.293819;1.0495
248;0.293556;1.12871
249;0.293514;1.0099
250;0.29257;1.07921
251;0.293237;1.06931
252;0.293467;1.0198
253;0.293678;1.0495
254;0.293572;1
255;0.293243;1.0099
256;0.293467;1.0198
257;0.293487;1.0198
258;0.293819;1
259;0.293451;1
260;0.293096;0.990099
261;0.292537;0.980198
262;0.293534;1.0198
263;0.293708;1.0297
264;0.293373;0.990099
265;0.293816;0.980198
266;0.293492;1.22772
267;0.293221;1.30693
268;0.292418;1.16832
269;0.293816;1
270;0.293492;1.0099
271;0.293495;1.13861
272;0.293697;1.15842
273;0.293492;1.30693
274;0.293401;1.08911
275;0.293694;1.22772
276;0.293877;1.09901
277;0.293354;1.05941
278;0.293307;1.11881
279;0.293453;1.26733
280;0.293874;1.27723
281;0.293536;1.06931
282;0.293968;1.0495
283;0.293968;1.06931
284;0.293453;1.0099
285;0.293857;0.990099
286;0.293678;1.05941
287;0.293755;1.0495
288;0.293492;1.0099
289;0.29329;1.08911
290;0.293542;1.17822
291;0.293487;1.09901
292;0.293467;1
293;0.292913;1.12871
294;0.293495;1.22772
295;0.293819;1.23762
296;0.293492;1.34653
297;0.293107;1.28713
298;0.293672;1.25743
299;0.293492;1.24752
300;0.292878;1.11881
