k;q;time
1;0.653326;214.727
2;0.649532;240.545
3;0.648405;357.182
4;0.64755;331.545
5;0.646313;338.182
6;0.641199;373.636
7;0.644891;374.636
8;0.639431;387.273
9;0.641559;390.182
10;0.642421;403.455
11;0.637794;419.636
12;0.638054;446.091
13;0.639876;437.273
14;0.63719;445.182
15;0.636502;454.636
16;0.636771;479.364
17;0.636853;489.182
18;0.635519;495.364
19;0.636967;517
20;0.640401;522.455
21;0.636728;532.636
22;0.6362;546
23;0.634445;554.909
24;0.632339;581.091
25;0.633226;575.182
26;0.634867;585.545
27;0.632958;619.455
28;0.637176;632
29;0.635638;633.818
30;0.633844;654.909
31;0.637762;643.091
32;0.636516;651.727
33;0.634865;702.273
34;0.637359;703.273
35;0.637291;689.182
36;0.636119;686.909
37;0.631527;725.091
38;0.638739;735.636
39;0.637859;708.909
40;0.633443;750.545
41;0.635341;764.182
42;0.633291;775.818
43;0.635044;769.636
44;0.634927;777.273
45;0.634747;797.364
46;0.638234;870.091
47;0.636527;855.727
48;0.637325;874
49;0.635946;854.364
50;0.635405;874.182
