k;q;time
1;0.00293665;440
2;0.34434;5564
3;0.816796;10006
4;0.809035;10101
5;0.805146;10371
6;0.803352;10678
7;0.800464;10948
8;0.803473;10502
9;0.80717;10976
10;0.798525;11012
11;0.795167;11069
12;0.79822;11299
13;0.79719;11639
14;0.785917;11443
15;0.798963;11649
16;0.791791;11513
17;0.795943;11663
18;0.779452;11580
19;0.789809;11867
20;0.794562;11953
21;0.793326;13914
22;0.787221;12792
23;0.796847;13498
24;0.794326;13872
25;0.798817;15203
26;0.790777;13459
27;0.797308;13110
28;0.788996;13218
29;0.772716;13674
30;0.795921;14394
31;0.789284;13720
32;0.795207;13709
33;0.791522;13762
34;0.789817;14017
35;0.79256;14049
36;0.796661;14299
37;0.778013;14423
38;0.790358;14572
39;0.791785;14706
40;0.79274;14781
