k;q;time
1;0.414093;1.64356
2;0.420727;1.56436
3;0.422771;1.57426
4;0.421931;1.66337
5;0.420129;1.81188
6;0.418765;1.81188
7;0.419778;1.9802
8;0.416847;1.9703
9;0.414552;1.91089
10;0.414763;2
11;0.41473;2.0198
12;0.412328;2.09901
13;0.412091;2.12871
14;0.410668;2.13861
15;0.411719;2.27723
16;0.409728;2.28713
17;0.410392;2.39604
18;0.409873;2.40594
19;0.407499;2.60396
20;0.410843;2.49505
21;0.407519;2.53465
22;0.408472;2.51485
23;0.410203;2.69307
24;0.408919;2.62376
25;0.410399;2.67327
26;0.406937;2.74257
27;0.407304;2.84158
28;0.407818;2.88119
29;0.409135;2.88119
30;0.40769;2.9802
31;0.407738;2.9604
32;0.406474;3.10891
33;0.407994;3.17822
34;0.408192;3.45545
35;0.406149;3.29703
36;0.405807;3.32673
37;0.409287;3.31683
38;0.405685;3.30693
39;0.406981;3.42574
40;0.406612;3.45545
41;0.407478;3.53465
42;0.40921;3.71287
43;0.408568;3.54455
44;0.406177;3.61386
45;0.405386;3.83168
46;0.406415;3.76238
47;0.408432;3.72277
48;0.406335;3.84158
49;0.406263;3.88119
50;0.406805;3.94059
