k;q;time
1;0.230052;0.120879
2;0.248772;0.113886
3;0.251972;0.11988
4;0.254689;0.137862
5;0.253789;0.146853
6;0.253651;0.138861
7;0.253651;0.137862
8;0.253651;0.155844
9;0.253651;0.157842
10;0.252266;0.152847
11;0.252266;0.142857
12;0.253651;0.171828
13;0.251972;0.178821
14;0.251972;0.183816
15;0.251972;0.20979
16;0.251972;0.174825
17;0.251972;0.163836
18;0.251972;0.158841
19;0.251972;0.160839
20;0.251972;0.195804
21;0.251972;0.195804
22;0.251972;0.165834
23;0.251972;0.168831
24;0.251972;0.168831
25;0.251972;0.211788
26;0.251972;0.18981
27;0.251972;0.182817
28;0.251972;0.177822
29;0.251972;0.176823
30;0.251972;0.17982
