k;q;time
1;0.48489;0.16983
2;0.505478;0.141858
3;0.50799;0.146853
4;0.508821;0.152847
5;0.50799;0.158841
6;0.50799;0.15984
7;0.50799;0.183816
8;0.507298;0.186813
9;0.506289;0.182817
10;0.506448;0.181818
11;0.506012;0.182817
12;0.502907;0.193806
13;0.503066;0.201798
14;0.499347;0.201798
15;0.498042;0.212787
16;0.498042;0.216783
17;0.497567;0.21978
18;0.49557;0.230769
19;0.495491;0.224775
20;0.49557;0.224775
21;0.49557;0.230769
22;0.495491;0.237762
23;0.495491;0.245754
24;0.495491;0.236763
25;0.495491;0.243756
26;0.49557;0.25974
27;0.495491;0.261738
28;0.49557;0.251748
29;0.49557;0.255744
30;0.495491;0.261738
31;0.495609;0.265734
32;0.495491;0.273726
33;0.495728;0.274725
34;0.496539;0.275724
35;0.495491;0.273726
36;0.499347;0.275724
37;0.495491;0.282717
38;0.5;0.281718
39;0.495491;0.280719
40;0.495491;0.284715
41;0.498418;0.293706
42;0.495491;0.288711
43;0.495609;0.290709
44;0.49557;0.302697
45;0.5;0.290709
46;0.5;0.287712
47;0.5;0.291708
48;0.498754;0.296703
49;0.495609;0.297702
50;0.498892;0.291708
51;0.497033;0.306693
52;0.497033;0.315684
53;0.5;0.292707
54;0.498754;0.298701
55;0.495491;0.304695
56;0.5;0.304695
57;0.495491;0.301698
58;0.495491;0.311688
59;0.499347;0.303696
60;0.495491;0.307692
61;0.498734;0.302697
62;0.5;0.296703
63;0.495491;0.294705
64;0.499347;0.300699
65;0.497033;0.308691
66;0.495609;0.300699
67;0.5;0.304695
68;0.499347;0.307692
69;0.495491;0.306693
70;0.498892;0.304695
71;0.499347;0.304695
72;0.498418;0.297702
73;0.498675;0.302697
74;0.499684;0.343656
75;0.499031;0.306693
76;0.499684;0.315684
77;0.495491;0.324675
78;0.495491;0.346653
79;0.495491;0.333666
80;0.5;0.334665
81;0.49557;0.333666
82;0.495491;0.333666
83;0.49557;0.323676
84;0.495491;0.331668
85;0.499347;0.306693
86;0.495491;0.2997
87;0.499347;0.30969
88;0.498892;0.304695
89;0.495491;0.317682
90;0.5;0.311688
91;0.49557;0.312687
92;0.496539;0.318681
93;0.499347;0.304695
94;0.498754;0.302697
95;0.499347;0.306693
96;0.495491;0.306693
97;0.495609;0.303696
98;0.495491;0.308691
99;0.5;0.307692
100;0.495491;0.313686
