k;q;time
1;0.53349;8.21569
2;0.545313;7.29412
3;0.54448;7.60784
4;0.544828;7.88235
5;0.541963;6.54902
6;0.539317;5.80392
7;0.539246;5.72549
8;0.534267;5.96078
9;0.532029;6.21569
10;0.534533;6.03922
11;0.528981;6.35294
12;0.523813;6.66667
13;0.525018;7.31373
14;0.522528;7.52941
15;0.52219;9.37255
16;0.518207;8.80392
17;0.51596;9.98039
18;0.516636;7.96078
19;0.515997;7.33333
20;0.516221;8.03922
21;0.515867;8.01961
22;0.517193;8.80392
23;0.514677;9.33333
24;0.516213;8.62745
25;0.511206;8.33333
26;0.514907;8.92157
27;0.508582;9.01961
28;0.507546;8.92157
29;0.51469;9.09804
30;0.51314;8.98039
31;0.505007;9.92157
32;0.509447;9.17647
33;0.511129;10.7059
34;0.51135;11.9412
35;0.508274;12.098
36;0.51115;11.7647
37;0.510134;13.0392
38;0.508324;11.4902
39;0.510468;12.4706
40;0.510315;14.0784
