k;q;time
1;0.417994;1.64471
2;0.429855;1.62675
3;0.432704;1.61277
4;0.432855;1.80639
5;0.433954;1.67465
6;0.434162;1.71856
7;0.434631;1.72255
8;0.435317;1.74052
9;0.435702;1.83832
10;0.434673;1.86228
11;0.435347;1.89421
12;0.435817;1.91018
13;0.436423;1.97605
14;0.436724;2.00599
15;0.437591;2.03393
16;0.437384;2.04192
17;0.437595;2.08782
18;0.437154;2.13972
19;0.438102;2.17365
20;0.437864;2.18563
21;0.437693;2.29341
22;0.437454;2.74251
23;0.437546;2.33932
24;0.437683;2.31737
25;0.437899;2.87425
26;0.438343;2.58882
27;0.43758;2.51098
28;0.438526;2.47305
29;0.437957;2.53693
30;0.438595;2.54691
31;0.437885;2.58084
32;0.43861;2.63872
33;0.438402;2.64671
34;0.438651;2.71657
35;0.43861;2.72854
36;0.438767;2.78443
37;0.438757;2.83633
38;0.438767;2.87625
39;0.438767;2.91816
40;0.438767;2.92016
41;0.438767;2.95609
42;0.438871;2.96008
43;0.438767;2.96208
44;0.438767;3.04391
45;0.438767;3.07186
46;0.438767;3.10978
47;0.438767;3.21357
48;0.438866;3.17964
49;0.438866;3.1976
50;0.438767;3.25749
51;0.438767;3.31337
52;0.438767;3.31337
53;0.438871;3.41517
54;0.438767;3.53094
55;0.438871;3.51697
56;0.438767;3.57884
57;0.438871;3.57485
58;0.438871;3.53293
59;0.438871;3.50299
60;0.438871;3.53293
61;0.438908;3.61677
62;0.438871;3.62475
63;0.438871;3.63074
64;0.438871;3.69261
65;0.438871;3.71257
66;0.438871;3.82036
67;0.438871;3.8503
68;0.438871;4.31337
69;0.438871;4.64671
70;0.438908;4.52894
71;0.438908;3.96806
72;0.438871;4.42315
73;0.438908;4.05589
74;0.438908;3.99401
75;0.438908;4.06986
76;0.438908;4.04192
77;0.438908;4.81238
78;0.438908;5.13573
79;0.438908;4.55489
80;0.438908;4.89222
81;0.438908;4.99601
82;0.438871;4.22355
83;0.438908;3.84631
84;0.438908;4.02395
85;0.438908;4.00798
86;0.438908;4.51497
87;0.438908;4.70659
88;0.438908;5.13573
89;0.438908;5.41717
90;0.438908;5.47505
91;0.438908;4.41118
92;0.438908;4.91218
93;0.438908;5.73253
94;0.438908;5.09182
95;0.438908;4.63074
96;0.438908;5.19162
97;0.438908;5.47106
98;0.438908;5.34731
99;0.438908;5.14571
100;0.438908;5.63473
