k;q;time
1;0.00164327;2.13373
2;0.0314819;2.13174
3;0.145343;2.31537
4;0.27412;2.64471
5;0.394806;2.88024
6;0.502807;3.14571
7;0.562481;3.41517
8;0.626406;3.59681
9;0.680824;3.80439
10;0.71126;3.97206
11;0.740285;4.12375
12;0.770395;4.23952
13;0.791402;4.52894
14;0.804377;4.56487
15;0.81964;4.66068
16;0.829937;4.79441
17;0.84078;4.92415
18;0.854295;5.07984
19;0.86058;5.22156
20;0.879369;5.33733
21;0.875419;5.4012
22;0.889379;5.5988
23;0.894785;5.74651
24;0.899418;5.9002
25;0.904497;6.07385
26;0.91111;6.1517
27;0.916775;6.32335
28;0.920428;8.06587
29;0.922481;7.0519
30;0.927758;7.37325
31;0.927649;6.43912
32;0.931085;7.00998
33;0.933562;6.72455
34;0.936662;6.78244
35;0.9374;6.9002
36;0.939221;6.99401
37;0.94125;7.06387
38;0.942776;7.22555
39;0.943991;7.39321
40;0.945469;8.51297
41;0.94612;8.01796
42;0.946784;7.91018
43;0.948566;8.2495
44;0.948687;8.27745
45;0.949932;8.50898
46;0.950356;8.3493
47;0.950665;8.64671
48;0.951245;8.73054
49;0.951977;8.82635
50;0.952039;8.88224
51;0.952391;9.02794
52;0.952192;9.26547
53;0.952686;9.21557
54;0.952375;9.33134
55;0.95291;9.53293
56;0.952876;10.0719
57;0.953125;10.2934
58;0.952821;9.73054
59;0.953266;10.2675
60;0.952811;12.2375
61;0.953306;11.1657
62;0.953408;10.6747
63;0.953275;10.6727
64;0.953386;10.6128
65;0.95356;10.7944
66;0.953441;10.9202
67;0.953565;11.8583
68;0.953523;12.493
69;0.953544;12.3413
70;0.953643;11.6866
71;0.953598;13.1597
72;0.953642;12.7904
73;0.953881;12.513
74;0.953619;13.2914
75;0.953846;13.2016
76;0.953825;13.9581
77;0.953915;14.487
78;0.953928;13.6667
79;0.953985;14.2096
80;0.954018;13.6248
81;0.954169;13.7864
82;0.954126;13.7405
83;0.95413;13.7365
84;0.954082;15.8862
85;0.95418;13.8044
86;0.954136;14.7026
87;0.954225;14.4711
88;0.954284;13.9681
89;0.95416;16.2016
90;0.954266;14.7705
91;0.954233;14.6447
92;0.954219;15.2575
93;0.954323;16.7146
94;0.954343;16.7246
95;0.954464;19.3174
96;0.954452;18.1976
97;0.954426;16.8204
98;0.954443;16.6208
99;0.954422;16.8144
100;0.954457;16.3713
