k;q;time
1;-0.00225171;8.97512
2;-0.000940395;8.94527
3;0.00454397;8.79104
4;0.0791969;11.6468
5;0.250331;12.8209
6;0.374751;13.3383
7;0.40452;14.2139
8;0.414363;14.5522
9;0.419302;14.791
10;0.4211;15.005
11;0.42246;15.1294
12;0.423359;16.1791
13;0.424261;21.393
14;0.42458;20.1542
15;0.424756;15.1095
16;0.425028;14.2935
17;0.425212;15.4726
18;0.425572;15.1891
19;0.42565;15.6915
20;0.42578;15.5274
21;0.425818;15.4328
22;0.425902;15.408
23;0.425985;15.6866
24;0.42612;16.0547
25;0.426169;16.6965
26;0.426246;16.6567
27;0.42624;16.9254
28;0.426341;17.5672
29;0.426374;17.199
30;0.42642;20.3881
31;0.426523;21.3881
32;0.426488;23.1592
33;0.426487;30.4627
34;0.426604;28.1841
35;0.426636;29.7413
36;0.426638;30.3483
37;0.42662;30.9005
38;0.426656;30.4726
39;0.426707;29.5423
40;0.426613;28.3333
41;0.426737;28.9701
42;0.426778;29.3134
43;0.426741;30.2189
44;0.426743;33.1891
45;0.426813;22.8507
46;0.426808;20.6318
47;0.426828;21.199
48;0.426744;20.6119
49;0.426817;21.6169
50;0.426832;21.6517
