k;q;time
1;0.494246;0.323353
2;0.513256;0.359281
3;0.517117;0.319361
4;0.518835;0.321357
5;0.51975;0.345309
6;0.52265;0.353293
7;0.522578;0.401198
8;0.523128;0.367265
9;0.523067;0.38523
10;0.523244;0.397206
11;0.523252;0.39521
12;0.523252;0.413174
13;0.523252;0.42515
14;0.523252;0.421158
15;0.523375;0.439122
16;0.523252;0.441118
17;0.523252;0.433134
18;0.523252;0.451098
19;0.523514;0.471058
20;0.523252;0.47505
21;0.523375;0.473054
22;0.523252;0.483034
23;0.523321;0.493014
24;0.523252;0.512974
25;0.523252;0.506986
26;0.523252;0.530938
27;0.523375;0.536926
28;0.523375;0.548902
29;0.523321;0.552894
30;0.523375;0.560878
