alpha;q;time
10;0.434447;53.9505
11;0.434447;56
12;0.434878;55.9109
14;0.43405;54.6436
16;0.434437;54.8713
18;0.433801;54.2277
21;0.434723;52.7327
23;0.434887;52.7822
27;0.434503;52.4356
30;0.435181;53.7228
34;0.434898;53.0495
39;0.434719;51.7624
44;0.434631;51.9802
50;0.43447;51.901
57;0.43383;53.2277
65;0.435171;52.1782
73;0.434081;51.396
83;0.434704;52.2772
94;0.434544;52.5248
107;0.434278;51.6139
121;0.434396;51.5248
138;0.434791;52.6436
156;0.434495;53.0792
177;0.433869;54.198
200;0.435184;66.1683
227;0.435697;65.4455
257;0.434679;69.802
292;0.436143;86.4158
331;0.436093;86.2475
375;0.435323;90.9604
425;0.435315;70.7129
481;0.436408;73.1683
545;0.435242;72.6832
618;0.436071;81.2376
701;0.436693;80.9307
794;0.434903;84.604
900;0.435711;97.6733
1020;0.436094;103.188
1155;0.436604;127.594
1309;0.436782;136.822
1484;0.435493;162.238
1681;0.436307;201.188
1905;0.437039;235.96
2159;0.435366;232.96
2446;0.435987;245.168
2772;0.436699;259.059
3141;0.435109;273.772
3560;0.436148;304.861
4034;0.435396;290.545
4571;0.436175;323.307
5180;0.435547;317.376
5869;0.436204;371.455
6651;0.435829;375.505
7537;0.436142;431.564
8540;0.436709;438.099
9677;0.436426;402.713
10966;0.438025;429.554
12426;0.436831;420.218
14081;0.436114;480.356
15955;0.437723;432.02
18080;0.436962;380.396
20487;0.437128;335.574
23215;0.437259;361.515
26306;0.437445;435.624
29809;0.436731;461.653
33778;0.436084;536.297
38276;0.43664;565.03
43372;0.437552;553.238
49147;0.438342;556.02
55691;0.436616;538.475
63106;0.437792;512.911
71509;0.437709;539.545
81030;0.438262;598.119
91819;0.438152;601.921
104045;0.437629;545.535
117899;0.435914;596.772
133597;0.438097;624.218
151385;0.437354;629.465
171542;0.437262;626.762
194382;0.437823;638.485
220264;0.438608;677.99
249592;0.438638;710.832
282825;0.436816;683.059
320483;0.437176;665.287
363155;0.437288;635.743
411508;0.438138;630.911
466300;0.436999;640.208
528387;0.4375;620.554
598741;0.437585;607.723
678462;0.437012;667.634
768799;0.438646;651.03
871163;0.437729;645.307
987157;0.437522;614.95
1118596;0.437836;630.525
1267535;0.438243;599.832
1436305;0.437258;644.812
1627547;0.436901;644.277
1844253;0.437446;631.723
2089812;0.437285;647.881
2368068;0.438724;670.198
2683372;0.438312;662.327
3040659;0.437686;480.139
