alpha;q;time
10;0.444871;53.3168
11;0.444871;53.9208
12;0.444739;52.8515
14;0.444739;50.8416
16;0.444739;51.7822
18;0.444739;50.9505
21;0.444739;60.198
23;0.444739;58.6733
27;0.444871;56.5545
30;0.444739;56.6733
34;0.444739;54.604
39;0.444739;57.7822
44;0.444739;53.7921
50;0.444739;53.3663
57;0.444739;53.8515
65;0.444739;56.8911
73;0.444739;56.9307
83;0.444739;57.0396
94;0.444739;54.9901
107;0.444739;55.4851
121;0.444739;56.1782
138;0.444739;59.1386
156;0.444739;59.8812
177;0.444739;60.8416
200;0.444739;58.9604
227;0.444739;59.9109
257;0.444739;60.8614
292;0.444848;60.7129
331;0.444847;62.8416
375;0.444739;65.7327
425;0.444739;66.7228
481;0.444739;67.0792
545;0.444739;70.7525
618;0.444739;74.0396
701;0.444739;76.0792
794;0.444739;79.4851
900;0.444739;81.0198
1020;0.444739;85.0792
1155;0.444739;88.5149
1309;0.444739;95.2376
1484;0.444739;100.792
1681;0.444739;110.327
1905;0.444739;117.772
2159;0.444739;121.386
2446;0.444739;121.109
2772;0.444206;125.307
3141;0.444739;136.02
3560;0.444739;168.089
4034;0.444339;235.624
4571;0.444206;251.099
5180;0.444739;249.079
5869;0.444206;242.99
6651;0.444206;244.911
7537;0.444206;242.426
8540;0.444237;180.327
9677;0.444206;160.089
10966;0.444206;159.97
12426;0.444739;157.297
14081;0.444206;155.069
15955;0.444206;141.545
18080;0.444206;146.257
20487;0.444206;152.436
23215;0.444437;158.634
26306;0.444339;153.653
29809;0.444739;143.762
33778;0.444206;137.941
38276;0.444206;136.248
43372;0.444339;137.277
49147;0.444206;134.693
55691;0.444206;135.515
63106;0.444206;134.594
71509;0.444667;134.911
81030;0.444206;138.96
91819;0.444739;135.535
104045;0.444206;136.782
117899;0.444258;153.584
133597;0.444206;151.554
151385;0.444206;165.733
171542;0.444206;189.792
194382;0.444206;199.347
220264;0.444206;217.891
249592;0.444739;202.713
282825;0.444206;202.96
320483;0.444206;185.861
363155;0.444206;188.921
411508;0.444206;184.782
466300;0.444206;183.307
528387;0.444739;177.05
598741;0.444615;174.604
678462;0.444261;173.871
768799;0.444206;168.455
871163;0.444206;164.545
987157;0.444739;166.762
1118596;0.444266;187.921
1267535;0.444206;190.515
1436305;0.444655;187.881
1627547;0.444739;159.287
1844253;0.444206;162.188
2089812;0.444206;159.98
2368068;0.444206;160.01
2683372;0.444206;155.267
3040659;0.444206;139.941
