alpha;q;time
10;0.66893;6601.4
11;0.66893;6639
12;0.66893;6647
13;0.668894;6690.6
14;0.668894;6530.4
16;0.668894;6585.4
18;0.670166;7273.8
20;0.670166;7171.6
22;0.670166;7335
24;0.669651;6669.2
27;0.669651;6815.6
30;0.669651;6772.2
33;0.668727;6834.8
36;0.668727;6924
40;0.668353;6606
44;0.669175;7019.2
49;0.669571;7002.6
54;0.6696;6827.2
60;0.670029;6768
66;0.669968;6898.2
73;0.666955;6888.8
81;0.670415;6385.6
90;0.67065;6370
99;0.668368;6500.4
110;0.670393;7009.2
121;0.669227;6998
134;0.672387;7126.8
148;0.669197;7585.8
164;0.66931;7278
181;0.671379;6986.6
200;0.668385;7826.4
221;0.671074;7383.2
245;0.669398;7858.6
271;0.669821;8726.6
299;0.671625;8327
331;0.670116;8212.4
365;0.668355;7508.6
404;0.669201;7751.2
447;0.67024;7355.6
494;0.67076;6693.4
545;0.669929;7650.6
603;0.671302;7124.4
666;0.670711;7848.6
736;0.669063;8224.2
814;0.669995;9254.2
900;0.671023;7692
994;0.670056;8639
1099;0.66848;7395
1215;0.669412;8204.2
1342;0.668981;8378.4
1484;0.670487;7937.2
