beta;q;time
0.01;0.441559;30.9338
0.0106894;0.441645;30.4768
0.0114263;0.441525;30.106
0.012214;0.441396;29.7748
0.0130561;0.441262;30.1523
0.0139561;0.441675;29.7682
0.0149182;0.441425;29.7748
0.0159467;0.441332;29.0265
0.017046;0.441844;29.245
0.0182212;0.441451;29.4172
0.0194773;0.441641;28.8742
0.0208201;0.441047;28.2252
0.0222554;0.441504;27.7285
0.0237897;0.441553;28.1722
0.0254297;0.441274;27.7152
0.0271828;0.441894;27.4834
0.0290568;0.441944;26.9073
0.0310599;0.442087;26.7086
0.0332012;0.442472;26.2185
0.03549;0.441649;26.0662
0.0379367;0.441844;25.649
0.040552;0.442035;25.3907
0.0433476;0.442505;25.1987
0.046336;0.442483;24.9338
0.0495303;0.442099;24.9272
0.0529449;0.441883;24.596
0.0565949;0.442524;24.8874
0.0604965;0.442508;24.457
0.064667;0.442679;24.6689
0.0691251;0.442387;24.6821
0.0738906;0.442457;24.5828
0.0789845;0.442241;24.7483
0.0844296;0.442023;24.5166
0.0902501;0.442286;24.4106
0.0964719;0.442272;25.053
0.103123;0.442591;25.3444
0.110232;0.442349;25.6358
0.117831;0.442427;24.6755
0.125954;0.442132;24.6689
0.134637;0.442792;24.4834
0.143919;0.442391;24.4437
0.153841;0.442826;24.596
0.164446;0.442455;24.6689
0.175783;0.44214;24.5894
0.187902;0.442569;24.6556
0.200855;0.441952;24.6159
0.214702;0.442864;24.4834
0.229504;0.442678;24.5894
0.245325;0.442195;24.4437
0.262238;0.442476;24.6159
