beta;q;time
0.01;0.444739;23.2255
0.0113315;0.444739;22.8323
0.0128403;0.444739;22.6248
0.0145499;0.444739;22.497
0.0164872;0.444739;22.2834
0.0186825;0.444739;22.3433
0.02117;0.444739;21.7705
0.0239888;0.444739;21.7804
0.0271828;0.444739;21.7545
0.0308022;0.444739;21.2575
0.0349034;0.444739;20.8743
0.0395508;0.444739;20.8204
0.0448169;0.444739;20.2335
0.0507842;0.444739;20.012
0.057546;0.444739;19.3413
0.0652082;0.444739;19.3493
0.0738906;0.444739;18.7565
0.083729;0.444469;18.6567
0.0948774;0.444339;18.3433
0.10751;0.444615;18.016
0.121825;0.444348;17.98
0.138046;0.444206;17.9042
0.156426;0.444739;17.9481
0.177254;0.444206;17.9002
0.200855;0.444437;17.8323
