beta;q;time
0.01;0.671955;3006
0.0106894;0.671353;3009.36
0.0114263;0.672471;2993.09
0.012214;0.671129;2980.45
0.0130561;0.671768;2973.73
0.0139561;0.672223;2998.91
0.0149182;0.673069;2991.18
0.0159467;0.672222;2993.36
0.017046;0.672122;2986
0.0182212;0.671987;2998.64
0.0194773;0.671915;2994.73
0.0208201;0.67194;3054.18
0.0222554;0.671358;2996.55
0.0237897;0.671828;2999.64
0.0254297;0.671869;2993.91
0.0271828;0.672257;2992
0.0290568;0.67229;2984.27
0.0310599;0.670902;2986.09
0.0332012;0.671899;2977.55
0.03549;0.671919;2992.27
0.0379367;0.671824;2980
0.040552;0.672107;2977.36
0.0433476;0.671491;2990.45
0.046336;0.671879;2975.45
0.0495303;0.67154;3111.36
0.0529449;0.672739;2991.64
0.0565949;0.671999;2994.36
0.0604965;0.671619;2976.73
0.064667;0.671983;2967.27
0.0691251;0.67205;2973.27
0.0738906;0.672009;3037.36
0.0789845;0.672132;2991.09
0.0844296;0.672056;2989.73
0.0902501;0.672568;2978.36
0.0964719;0.671364;2971.18
0.103123;0.672366;2979.73
0.110232;0.67095;3007.36
0.117831;0.671717;3023.45
0.125954;0.671506;2993.73
0.134637;0.67244;2995.82
0.143919;0.670907;2997.09
0.153841;0.671858;2993.82
0.164446;0.671551;2975.45
0.175783;0.672677;2980.55
0.187902;0.670629;2978.82
0.200855;0.671201;2979.36
0.214702;0.671955;2980.91
0.229504;0.671081;2993.09
0.245325;0.672531;3001.09
0.262238;0.67246;2992.64
