beta;q;time
0.01;0.955506;570.727
0.0106894;0.955539;650.455
0.0114263;0.955539;733.727
0.012214;0.955535;653
0.0130561;0.955522;609.091
0.0139561;0.955539;734.091
0.0149182;0.955522;772.364
0.0159467;0.955522;616
0.017046;0.955539;582.545
0.0182212;0.955506;572.364
0.0194773;0.955539;616.182
0.0208201;0.955539;724.545
0.0222554;0.955506;565.455
0.0237897;0.955506;568.818
0.0254297;0.955539;518.909
0.0271828;0.955539;559.545
0.0290568;0.955539;713.636
0.0310599;0.955539;482.182
0.0332012;0.955539;550.364
0.03549;0.955539;532.727
0.0379367;0.955539;656.364
0.040552;0.955539;575.545
0.0433476;0.955539;625.545
0.046336;0.955535;692.818
0.0495303;0.955535;648.364
0.0529449;0.955539;689.727
0.0565949;0.955534;514.636
0.0604965;0.955535;645.545
0.064667;0.955535;667
0.0691251;0.955506;690.182
0.0738906;0.955539;627.636
0.0789845;0.955539;669
0.0844296;0.955539;601.727
0.0902501;0.955506;688.364
0.0964719;0.955506;614.727
0.103123;0.955539;564.364
0.110232;0.95553;582.364
0.117831;0.955539;601.182
0.125954;0.955535;630.636
0.134637;0.955522;535.727
0.143919;0.955535;628.545
0.153841;0.955506;490.545
0.164446;0.955539;615.636
0.175783;0.955539;583.273
0.187902;0.955518;592.364
0.200855;0.955539;617
0.214702;0.955539;518
0.229504;0.955506;465.182
0.245325;0.955534;576
0.262238;0.955506;445.364
